basin,FHV_1%,mNSE,NSE,Alpha-NSE,Beta-NSE,FHV,FMS,FLV,KGE,Beta-KGE,Peak-Timing,Peak-MAPE,Pearson-r
01013500,-10.273659229278564,0.675083190202713,0.8477709144353867,0.9906660914421082,0.0327663756906986,-2.2414295002818108,1.3825616429795409,23.56522179024589,0.9140337606827836,1.0385959148406982,1.411764705882353,22.147604998420267,0.9237541620087536
01022500,-12.396176159381866,0.7002100646495819,0.8676552176475525,0.8794995546340942,-0.0217646546661853,-11.625196039676666,-10.87341469817613,4.106275349799264,0.8596423099433621,0.9729981422424316,0.4090909090909091,27.404789491133258,0.9332855075542528
01030500,6.776821613311768,0.7226861715316772,0.8889649584889412,0.9963389039039612,0.017793470993638,3.908722475171089,-15.042322298964844,-413.9477771546639,0.9399074364000272,1.0226109027862549,0.8095238095238095,22.45431627546038,0.9444440853681368
01031500,-4.653886333107948,0.7150546014308929,0.8790852501988411,0.9563429355621338,0.0238816663622856,-4.607905447483063,-20.18544265780289,-375.349158875644,0.914590776693456,1.0394257307052612,0.1363636363636363,22.81630689447576,0.938077403891218
01047000,-0.9362587705254556,0.6896593868732452,0.8401068300008774,0.9177628755569458,-0.0209036022424697,-5.695144087076187,-17.588242100449524,-129.4557355020975,0.8786488658045846,0.967705249786377,0.0,26.37872695922852,0.9168122470402582
01052500,-18.01894158124924,0.6522328853607178,0.8128753751516342,0.8526368737220764,-0.0086722914129495,-15.757888555526732,-11.41407229886571,-440.7427162529771,0.8230635581710384,0.986198365688324,0.3478260869565217,35.03294820370881,0.9030457409341032
01054200,5.030012130737305,0.5579618513584137,0.6358669698238373,1.0160667896270752,0.028132377192378,0.165791914332658,-17.04118872194591,-522.9048264179708,0.8139756035467531,1.0492299795150757,0.217391304347826,41.712337991465695,0.8213289518029872
01055000,11.514588445425034,0.6006304323673248,0.6727758944034576,0.99177086353302,-0.0152442324906587,0.4948060028254986,-20.260659216961518,-337.9156068163932,0.8330440786702004,0.9746724963188172,0.217391304347826,48.358908943507984,0.8351816802131216
01057000,19.378909468650814,0.6549435555934906,0.7343833744525909,1.086208701133728,0.0501805357635021,10.083325952291489,-13.49127594535304,-273.94061885160465,0.835685637999315,1.0756101608276367,0.0952380952380952,28.69710468110584,0.8823123923764842
01073000,4.33766283094883,0.6628847122192383,0.8544917404651642,0.981734037399292,0.0611063651740551,4.69416156411171,-11.782994980155976,-272.3216336875545,0.8651285712100723,1.1125497817993164,0.1052631578947368,27.05991644608347,0.9279638734312264
01078000,-8.327683806419373,0.6695298254489899,0.8259519934654236,0.9538298845291138,0.0465571358799934,-3.432212397456169,-8.524667408213377,-393.44345733814384,0.8791069551317113,1.0675686597824097,0.2857142857142857,28.16222962878999,0.9110172772379938
01118300,-9.017369151115416,0.6489987969398499,0.7765431106090546,0.8771905899047852,-0.0386994555592536,-9.488260746002195,-11.996281579946713,-178.844542798466,0.8206501774796363,0.9436172246932985,0.2631578947368421,27.307259409051195,0.8820797291435213
01121000,-28.2739520072937,0.6373565196990967,0.7606386840343475,0.7481313943862915,-0.0009910151129588,-25.024789571762085,-14.566048839720288,-137.48602322837178,0.722035945869472,0.998440444469452,0.1,34.255921840667725,0.8824253910002996
01123000,-15.710806846618652,0.6355011165142059,0.8202740550041199,0.8663815855979919,0.0368232801556587,-13.98901790380478,-7.385383940184361,-146.03964654728338,0.8284073491335409,1.05485200881958,0.1052631578947368,27.85014353300396,0.9073640766628382
01134500,-2.772999368607998,0.6360493898391724,0.7994280606508255,0.9308454990386964,-0.0061878599226474,-4.799268022179604,-14.566503198013386,-147.3157333415757,0.8738724035871586,0.9916379451751708,0.4166666666666667,31.623937686284386,0.8948529524295608
01137500,-8.304212987422943,0.6528241336345673,0.795505940914154,0.8718092441558838,-0.0825274735689163,-11.50725707411766,-6.913504391316263,-753.5514278118296,0.8046703052445858,0.895524799823761,0.125,33.84261131286621,0.8960492793796395
01139000,-14.224638044834135,0.6177541017532349,0.8070379346609116,0.9142335057258606,0.0496216304600238,-12.754727900028229,-7.967690076514351,7.069849186619905,0.8570812052123264,1.0551122426986694,0.0476190476190476,21.508986609322683,0.899837476728029
01139800,-13.477754592895508,0.568288654088974,0.7352169454097748,0.954279601573944,0.0403137952089309,-7.712799310684204,-8.148487283060218,-538.7039279000242,0.8499685180764289,1.0413304567337036,0.52,43.27064895629883,0.8632122663316297
01142500,-13.306571543216704,0.6332139074802399,0.7449148595333099,0.9241375923156738,0.0320051535964012,-11.676105856895449,3.4298982685157497,-20.80875468772725,0.8412974398921358,1.037187933921814,0.4230769230769231,36.82353679950421,0.865655460640359
01144000,-8.55274572968483,0.6760348379611969,0.830823227763176,0.956166923046112,0.0150275714695453,-4.240007326006889,-6.067904840130452,-544.4016521445654,0.900690528016503,1.0176684856414795,0.0833333333333333,20.44391632080078,0.9126566705149596
01162500,-18.117965757846832,0.6743439137935638,0.810319185256958,0.8774937391281128,-0.0521864220499992,-16.103166341781616,-5.613652521070509,-321.65058778299624,0.8292185764223228,0.93248051404953,0.3809523809523809,28.92663138253348,0.9020222999688632
01169000,-29.330918192863464,0.5997057259082794,0.6557656526565552,0.7241345643997192,-0.072569765150547,-25.60698688030243,-15.831471579720429,27.51498592574644,0.6515395996881967,0.8887376189231873,0.2727272727272727,50.73338421908292,0.8184962959506126
01170100,-19.52405869960785,0.5899525582790375,0.6980092823505402,0.851897120475769,-0.0506862439215183,-15.929950773715971,-8.3405548132958,-34.32405572574781,0.7701145967137586,0.9337574243545532,0.5454545454545454,44.28042065013539,0.8371357715992667
01181000,-28.080064058303837,0.6344026625156403,0.7004923820495605,0.704021155834198,-0.0385544300079345,-26.17812156677246,-13.031785609509331,-14.088471073609233,0.6618796723012359,0.9337460398674012,0.5238095238095238,47.11043948218936,0.8505600703421488
01187300,-25.97578763961792,0.5840518176555634,0.692186176776886,0.7732439041137695,-0.0007175430655479,-22.232142090797424,-17.478891875865973,-226.92750405346743,0.7190961443883295,0.9986855983734132,0.3,40.754709243774414,0.8342081985612652
01333000,-29.01158332824707,0.555699497461319,0.6517358124256134,0.7157015204429626,-0.1040874421596527,-29.349422454833984,-13.138256208098856,-1.7244946650512325,0.6412639815889316,0.8745847940444946,0.3043478260869565,41.65995224662449,0.8207322350724442
01350000,-11.441175639629364,0.578589916229248,0.6378801465034485,0.8804264664649963,-0.0128984441980719,-11.529016494750977,-7.741830142177417,24.04559671086489,0.7680702491341387,0.9773587584495544,0.2608695652173913,35.129858099895976,0.8025640519163031
01350140,-36.52825653553009,0.4839954376220703,0.5684749782085419,0.736344039440155,0.0007578085060231,-31.58007264137268,5.2278888611194105,-262.0898075778491,0.6395253583992284,1.0014513731002808,0.4090909090909091,50.007451664317735,0.754184225049339
01365000,-13.711467385292051,0.6122416257858276,0.7152323424816132,0.8700339198112488,-0.0099000111222267,-12.08181157708168,-13.153022961736887,-15.802165177037384,0.7981220699869418,0.9865282773971558,0.217391304347826,39.30252323979917,0.8461103339504555
01411300,15.537939965724943,0.4845077395439148,0.6807378828525543,1.1338437795639038,0.2223553657531738,15.768933296203612,-3.895765856911773,45.69001101249859,0.7360213044824286,1.1985716819763184,0.5,42.926695611741806,0.8889149808646384
01413500,-4.066877067089081,0.5655019283294678,0.7145553529262543,0.9695608615875244,0.070839375257492,-4.369878396391869,-3.4330901436961816,-435.6079590673265,0.8225915075760943,1.0988516807556152,0.25,43.094425201416016,0.8558626445066406
