basin,FHV_1%,mNSE,NSE,Alpha-NSE,Beta-NSE,FHV,FMS,FLV,KGE,Beta-KGE,Peak-Timing,Peak-MAPE,Pearson-r
102101A,-25.255820155143738,0.5937679708003998,0.6033584475517273,0.8001740574836731,-0.04238123446702957,-26.82526409626007,-6.534544514187234,4.64713750855847,0.6623590329510691,0.8422423005104065,0.2727272727272727,68.66097016768022,0.7782264137031871
104001A,-17.393101751804352,0.6362952291965485,0.6516807079315186,0.7058149576187134,0.0056413463316857815,-15.38223922252655,-41.01120060988772,-22.795539434958254,0.6514092859437647,1.0243003368377686,0.9,53.55481624603271,0.8145811757266065
105101A,4.754416272044182,0.6115764081478119,0.7590926140546799,1.0494812726974487,0.0625571683049202,8.278819918632507,-52.194926444818,-49.016112704880875,0.7357416578112157,1.234302043914795,0.5454545454545454,33.65404172377153,0.8882564217238643
105102A,-25.2841979265213,0.4955275058746338,0.6213394701480865,0.745499849319458,0.03361508622765541,-18.051721155643463,-58.07447885797201,52.460496964179626,0.6250105655424859,1.1784522533416748,0.7,55.81117153167725,0.790234553523164
105105A,-6.407126784324646,0.6288053393363953,0.7854842841625214,1.010398507118225,0.035434525460004807,-2.7423689141869545,-21.70649070281719,-28.45734160913056,0.8290198567949012,1.1341649293899536,0.6,29.97422695159912,0.8945208449885141
107001B,1.748443953692913,0.743760734796524,0.8716842979192734,0.9793172478675842,0.0011019812664017081,1.8450429663062096,25.897090923042466,5.3427027583031546,0.9314394097027572,1.0030815601348877,0.3,22.89235830307007,0.9347061848773522
108002A,-2.4547459557652473,0.6762291789054871,0.7915394753217697,0.993722677230835,-0.031115997582674026,-4.971146583557129,9.93107885791422,32.24297816143213,0.870406304808333,0.9234520792961121,0.5384615384615384,52.62292348421537,0.8956183115283447
108003A,17.50604212284088,0.5791562497615814,0.5424875915050507,1.1571617126464844,0.032660916447639465,20.197267830371857,3.2777616054932097,42.15353205576252,0.7480205438093618,1.0631784200668335,0.1875,54.710716009140015,0.8134461749038301
112002A,-20.40783166885376,0.7187795042991638,0.8230334222316742,0.8138554692268372,-0.06329160928726196,-19.70585733652115,-10.653812669431614,31.040047829377283,0.7696146429788742,0.894135594367981,0.2,33.43738555908203,0.9150273337291928
112102A,-16.69526696205139,0.7333980202674866,0.8628409802913666,0.8440631031990051,-0.06423942744731903,-12.075600773096085,12.151505153979091,37.55906668931196,0.8027945803784415,0.8978909850120544,0.2857142857142857,28.66417680467878,0.9355996055727737
