basin,NSE,Alpha-NSE,Beta-NSE,FHV,FMS,FLV,KGE,Beta-KGE,Peak-Timing,Peak-MAPE,Pearson-r
102101A,0.6367282569408417,0.778526246547699,-0.03336260840296745,-27.2280752658844,2.642898513475119,-6.780450101251992,0.6761012729398981,0.8758127689361572,0.45454545454545453,67.82520901073109,0.7989097377703248
104001A,0.7269417941570282,0.786014974117279,0.005680704489350319,-7.157430797815323,-48.83764453722632,68.76125521457256,0.7406103816496501,1.0244698524475098,0.8,52.233290672302246,0.8554503229781937
105101A,0.7949701845645905,0.907660722732544,0.04768272489309311,-5.563762411475182,-33.7176169445214,-45.01516809313147,0.7722518299820995,1.178591251373291,0.2727272727272727,33.01897265694358,0.8930053657740334
105102A,0.5917430222034454,0.7924670577049255,0.03499583527445793,-11.932754516601562,-59.46312606777321,-103.44982319344993,0.639002904270769,1.1857821941375732,0.7,53.85436534881591,0.7703612460216746
105105A,0.7389452457427979,1.0382814407348633,0.0411401093006134,0.6540961563587189,-19.06408434165042,91.10994892806218,0.7971374018532837,1.155767798423767,0.8,31.730008125305176,0.8758059663417284
107001B,0.8603253215551376,1.027673363685608,0.014741180464625359,7.500198483467102,7.501786086152492,-7.847455525539185,0.9162244342739939,1.041221261024475,0.4,19.581787586212158,0.932521573858095
108002A,0.8026216775178909,0.9546746611595154,-0.04132968559861183,-9.262917190790176,22.98545015508502,58.31375114774331,0.8494182466849776,0.8983255624771118,0.6153846153846154,51.62068880521334,0.8985959229378531
108003A,0.5871155261993408,1.0758353471755981,0.0387321338057518,10.049955546855927,-4.431841755037385,51.78145829561368,0.7834261769297657,1.0749224424362183,0.5,60.99582314491272,0.8114798456997099
112002A,0.8405917584896088,0.849371075630188,-0.05260135978460312,-17.091286182403564,-2.2384902169684757,20.71429745943818,0.8085631195726956,0.9120165705680847,0.13333333333333333,32.08224614461263,0.9211461955494176
112102A,0.8530345559120178,0.8431946039199829,-0.05391525477170944,-13.255973160266876,-0.33052039876096373,52.946128266000244,0.8077733796702471,0.914301335811615,0.14285714285714285,27.611236912863596,0.9291559439337757
113004A,0.8824403584003448,0.882030725479126,-0.0781238004565239,-12.53783106803894,-3.9558338289166413,11.814654391944623,0.8224908992660506,0.8794369101524353,0.07142857142857142,23.858518259865896,0.9447073921866392
116006B,0.8523439317941666,0.804980456829071,-0.07667003571987152,-21.966862678527832,-8.705567562561368,83.12843551136194,0.6545489800435859,0.7222387194633484,0.7,46.762380599975586,0.9355604468903723
116010A,0.8082921504974365,0.7574036717414856,-0.11455878615379333,-26.39136016368866,35.343392668934335,51.577057134657636,0.5733475190107433,0.6580468416213989,0.3,37.58483409881592,0.920959513382858
116011A,0.7581979483366013,0.683849036693573,-0.08722271025180817,-28.68618667125702,-5.926415486554585,62.2682352136602,0.578445529619439,0.7389964461326599,0.3,50.44547080993652,0.9018476451282393
116012A,0.7202129364013672,0.5906617641448975,-0.09387575089931488,-40.878984332084656,36.46884251539453,-201.92232875763386,0.4126730034901075,0.5880152583122253,0.3,58.715081214904785,0.9124569699358007
116013A,0.8136400878429413,0.7939187288284302,-0.08128466457128525,-21.805080771446228,19.9516379575553,68.27904321745638,0.675822695787659,0.7651676535606384,0.6,47.917680740356445,0.9135407419389094
116014A,0.7289463579654694,0.9454321265220642,-0.032538626343011856,-5.015536770224571,-37.658348322220995,77.88821987747258,0.8049969527118552,0.8770893216133118,0.1111111111111111,44.91819275750054,0.8587856212197833
116015A,0.7480217516422272,0.6472141146659851,-0.10001173615455627,-30.722013115882874,14.535036557068363,44.99383980984295,0.5223844259834465,0.6911045908927917,0.25,41.99934005737305,0.9092124354068928
121001A,0.8381225913763046,0.79118412733078,-0.03499346598982811,-17.824073135852814,-85.28816151297391,69.75705669566848,0.7090399736906337,0.8113680481910706,0.16666666666666666,42.734360694885254,0.9260293640145432
122004A,0.7596884518861771,0.677847683429718,0.0015375686343759298,-25.60873031616211,-50.97527410006456,81.68943686716277,0.6623517846816953,1.0090796947479248,0.14285714285714285,46.49338041033064,0.8992936874901994
126003A,0.7497870922088623,0.8286433219909668,0.032535139471292496,-9.228406846523285,-40.845820001875346,-44.780605094646866,0.705614839003454,1.1992765665054321,0.0,36.651286211880766,0.8673788781585796
136202D,0.8481456786394119,0.8987491130828857,0.011031481437385082,2.6028264313936234,-10.691425222003572,-19.484026493710207,0.827338644036677,1.1156069040298462,1.0,44.46248531341553,0.9212901182682568
136203A,0.8108826875686646,0.8440213203430176,0.0044900826178491116,-5.420586094260216,-81.4886111735662,-183.30734093380582,0.8116085260720367,1.0404292345046997,0.6666666666666666,39.16042645772298,0.9023912097268955
136208A,0.8235283195972443,0.9318922162055969,-0.009770779870450497,-13.790373504161835,-75.13855012612271,-173.8165593661726,0.8515980459294229,0.9056927561759949,0.4,40.459909439086914,0.9078554748186298
137101A,0.5806632041931152,0.8323324918746948,-0.015140489675104618,-19.715753197669983,-58.133844922331576,-75.39907659614923,0.6721077283465239,0.8443313241004944,0.3333333333333333,35.37195523579915,0.7651208568799214
137201A,0.6611047983169556,0.9842863082885742,-0.0017239321023225784,-4.107017070055008,-56.067163914334486,-76.39191153139556,0.8263583872474118,0.9823476672172546,0.42857142857142855,32.627698353358674,0.827974174266056
138004B,0.5157139003276825,0.7348320484161377,-0.030021755024790764,-27.609845995903015,-52.42043020474735,-52.79935015219973,0.528356783842487,0.7295635342597961,0.16666666666666666,35.20866235097249,0.7189352409173847
138009A,0.8186407685279846,0.9419186115264893,0.002889184979721904,4.170985892415047,-18.637451507612187,-13.730433148950057,0.8873817945045628,1.0195881128311157,0.2222222222222222,22.10363811916775,0.9055239799858338
138010A,0.8341101706027985,0.7463325262069702,-0.02143358252942562,-24.482737481594086,-6.146252565110917,1.4583994459207927,0.645377117068128,0.7616217136383057,0.4,48.64270210266113,0.9322800293145602
138113A,0.8348650932312012,0.7167423963546753,-0.013070415705442429,-21.847249567508698,-38.06728633316035,-48.85455117490122,0.6856882800417604,0.8772672414779663,0.125,42.538970708847046,0.9408928323653796
143009A,0.4464648365974426,1.392518401145935,0.019465653225779533,25.946930050849915,-41.276190729279676,-25.240634233441096,0.5385208851425352,1.1958531141281128,0.6,65.27438163757324,0.8567036780032774
143110A,0.8252713531255722,0.8586512804031372,-0.00994192622601986,-20.24986296892166,-72.33542297403234,-110.35454079070202,0.8064627790550278,0.9032145142555237,0.375,55.6820011138916,0.9099457657373281
143303A,0.8427274525165558,0.8508247137069702,-0.023232001811265945,-8.231314271688461,-21.418923156592854,49.682115377446316,0.7998426524012086,0.8924633860588074,0.3076923076923077,24.39874135530912,0.9209710532827439
145010A,0.8367983549833298,0.7786642909049988,-0.024724876508116722,-27.527964115142822,-26.469491260416895,80.49441065219077,0.7452874201152596,0.8971997499465942,0.35714285714285715,46.37323447636196,0.9270540554937391
145011A,0.8856278583407402,0.9403190016746521,-0.0012169000692665577,-15.235523879528046,-22.95279091882524,-14.679438760270932,0.9155396905739636,0.9899973273277283,0.1111111111111111,28.6450809902615,0.9410791306357159
145018A,0.856381744146347,1.1133215427398682,-0.013099828734993935,-5.80570176243782,-43.50216224510648,-30.620380388214567,0.8529247780403427,0.926863968372345,0.07692307692307693,51.87266789949857,0.9413444824138655
145101D,0.8920316472649574,0.9214835166931152,-0.0043982043862342834,-13.643074035644531,-44.96848793387049,91.87544496470575,0.901134652700846,0.9763496518135071,0.45454545454545453,36.21660362590443,0.9447715673193628
145107A,0.8821311518549919,0.9232693314552307,-0.028149176388978958,-15.108150243759155,-26.343719869082637,67.78907052115629,0.8543955455630743,0.8918924331665039,0.5714285714285714,37.446454593113494,0.9397852538833825
146010A,0.8565152138471603,0.6818734407424927,-0.008740165270864964,-22.238507866859436,-28.59878777229295,91.4982805077895,0.6745445844840802,0.9386892914772034,0.18181818181818182,36.01282835006714,0.9690530000799369
146012A,0.9139587432146072,0.958519697189331,0.008289486169815063,-0.12650750577449799,-14.739509250178507,80.08165127399903,0.9309106008449507,1.0334845781326294,0.29411764705882354,39.027040144976446,0.9560510229741263
146014A,0.6043213605880737,0.46780866384506226,-0.0214388445019722,-29.958301782608032,-4.449744182440965,62.080697813196,0.43032960947503474,0.8357771039009094,0.125,30.80378770828247,0.8803021472234533
146095A,0.890036515891552,0.8795289397239685,0.02305491641163826,-5.465802922844887,-17.14345382961232,91.53816136938569,0.8234855222416949,1.117185354232788,0.1875,38.79934549331665,0.9460400403299637
204034,0.7099548280239105,0.5651719570159912,-0.06637141108512878,-55.5497944355011,-27.72274602164429,80.7004323410998,0.44970501139642693,0.6737317442893982,0.21428571428571427,58.50469044276646,0.9145706559052166
206014,0.5631201565265656,0.6468435525894165,-0.04700390622019768,-33.341509103775024,-19.618272550611472,-4.9050943246994185,0.49914299827738284,0.7378240823745728,0.6,58.16474914550781,0.7604127548383038
206018,0.6705439686775208,0.6514544486999512,-0.017144139856100082,-31.22299611568451,-24.458540265359645,-15.12723040047893,0.607416479710827,0.9149657487869263,0.26666666666666666,39.189351399739586,0.8406042811358586
208007,0.7738243639469147,0.8537269234657288,-0.10070046037435532,-26.08872354030609,-16.97371228200807,46.68092149189669,0.6585328588535301,0.7132781744003296,0.4,46.36279741923015,0.8860061831118257
208009,0.6611540019512177,0.8753765821456909,0.00575163122266531,-10.54483950138092,4.98649800550222,60.77031021248873,0.7769117027533968,1.0118591785430908,0.25,47.93265461921692,0.8153469416040391
210006,0.7379330694675446,0.8385328650474548,-0.004984860308468342,-35.12182831764221,-51.550204353159444,60.187037381537344,0.7821483754054882,0.9601255059242249,0.5555555555555556,71.71698146396213,0.8592956312302791
210011,0.880663126707077,0.8509377241134644,-0.011868540197610855,-9.674981981515884,-0.47989680006168883,86.92392135730942,0.8318898580544118,0.9471369981765747,0.13333333333333333,32.497148513793945,0.9430178907839603
211008,0.6743466854095459,0.77732253074646,0.015207398682832718,-24.645952880382538,-48.10148259828391,46.27604438478647,0.6945021494309656,1.1107391119003296,0.23076923076923078,49.63692151583158,0.8225724641306622
212209,0.4667537808418274,0.695368230342865,-0.2217046022415161,-20.967353880405426,-43.89492072150699,43.20048946794473,0.40588252834772254,0.5745431184768677,0.4,54.852021535237625,0.7186434699484153
212260,0.3831326365470886,1.419136881828308,-0.029536264017224312,13.751362264156342,-20.072052261200703,88.55636413740542,0.5469384474647032,0.9256913661956787,0.2631578947368421,35.55157059117368,0.8448636998666281
215002,0.7670585513114929,1.0139318704605103,-0.052050720900297165,-5.630280449986458,-9.569947453902108,83.88781196981509,0.7756274445344354,0.8069180846214294,0.23076923076923078,33.63872674795297,0.8865613796568298
215004,0.7397866249084473,0.8414463400840759,-0.04356611520051956,-14.099788665771484,14.111007534483184,80.78195473135978,0.6937326209704641,0.7775983810424805,0.4117647058823529,61.759487787882485,0.8614432813972516
215207,0.7897637337446213,0.7830700278282166,0.0065734353847801685,-19.170399010181427,-4.088870932961838,82.50524278527837,0.7573295198379728,1.0313104391098022,0.4,42.269137700398765,0.8958366402309841
216002,-0.33759307861328125,1.7640504837036133,0.07472334057092667,59.37356948852539,-27.813920937853258,81.84839116929419,0.16083791728124375,1.274667739868164,0.25,77.4090051651001,0.7879210239064943
216004,0.7112164795398712,0.9156969785690308,0.14098794758319855,-5.211257189512253,-69.41822316980704,66.69131833415801,0.22515071344435922,1.7568682432174683,0.29411764705882354,50.8231611812816,0.857049379636539
218001,0.727329671382904,1.2014702558517456,0.022662708535790443,14.800684154033661,-31.24498998186937,80.4794099401355,0.7625374106446962,1.0806934833526611,0.29411764705882354,43.11121569739448,0.9036320639695359
219001,0.6318365633487701,1.2245339155197144,-0.005228711757808924,23.607102036476135,2.2826034094650915,-254.78737861920786,0.7398893447633591,0.9797052145004272,0.2777777777777778,49.87863434685601,0.870268756922063
221207,0.8035316467285156,0.8699561953544617,-0.0010183706181123853,-10.697124153375626,3.275966363245135,27.165505536455548,0.8339696711484421,0.9978085160255432,0.1875,41.75686836242676,0.8968017617889762
221210,0.7915372252464294,1.099583387374878,0.0553135871887207,11.81594505906105,-41.989485774737716,80.56991944847941,0.647144015033326,1.3266326189041138,0.3076923076923077,41.295653123121994,0.9111089017190885
222206,0.856620579957962,0.828206479549408,0.018285391852259636,-13.683246076107025,-33.808351769745954,92.14262498825273,0.8076195918020134,1.0529088973999023,0.14285714285714285,44.95647294180734,0.9314590898401358
222213,0.1939205527305603,0.37197980284690857,-0.012574989348649979,-44.93717551231384,-16.153545890219416,85.91362597849464,0.16196873407051948,0.9561144709587097,0.2,28.91934076944987,0.4468624990258517
