basin,FHV_1%,mNSE,NSE,Alpha-NSE,Beta-NSE,FHV,FMS,FLV,KGE,Beta-KGE,Peak-Timing,Peak-MAPE,Pearson-r
102101A,-28.930896520614624,0.6001502871513367,0.6095833778381348,0.7538173198699951,-0.040875859558582306,-28.573432564735413,-6.347172095136713,78.65681744639758,0.6378822776421906,0.8478458523750305,0.45454545454545453,67.88527748801492,0.7823478734077377
104001A,-25.17780065536499,0.643457680940628,0.6228186786174774,0.6524760127067566,-0.004350177478045225,-20.06078213453293,-47.24637685353156,87.03554408865442,0.6003423854510179,0.9812614321708679,1.0,53.47745418548584,0.803525693286625
105101A,-3.047853335738182,0.6451955139636993,0.7800308167934418,0.9866742491722107,0.05217914655804634,1.2729358859360218,-34.7693650727967,-42.63949106958654,0.7753416282422939,1.195432186126709,0.5454545454545454,38.11335997147994,0.8899996864030165
105102A,-20.625558495521545,0.5161396265029907,0.5423670709133148,0.7721641063690186,0.029723545536398888,-13.265292346477509,-49.37161799643172,-93.44388631352896,0.6185178098797823,1.1577931642532349,0.6,60.02014160156251,0.7378535060939366
105105A,-6.93461075425148,0.6373346149921417,0.7825128138065338,0.9851873517036438,0.04185091331601143,-1.3302159495651722,-29.69058672357276,-31.776555821483644,0.8068877390213777,1.158459186553955,0.5,27.347707748413086,0.890621679536652
107001B,9.404338896274567,0.746093213558197,0.8589207828044891,1.0259792804718018,0.01943521574139595,6.699490547180176,1.7287259416101264,80.65676284580205,0.9089762578374749,1.0543473958969116,0.4,18.574953079223633,0.9317595487803483
108002A,-4.670803248882294,0.6421850025653839,0.7908768057823181,0.9790784120559692,-0.024811040610074997,-6.672701984643936,15.207342303439653,38.990674892163604,0.8756857680983333,0.9389627575874329,0.5384615384615384,45.09797463050255,0.8937419628928189
108003A,12.565368413925171,0.5450943410396576,0.5679197907447815,1.122244119644165,0.06222803518176079,13.99666965007782,-10.23023731712265,-416.129126149934,0.748335974386994,1.1203722953796387,0.375,55.372679233551025,0.8158759453379222
112002A,-18.013402819633484,0.7217459976673126,0.8408602923154831,0.8473631143569946,-0.044970691204071045,-17.02127456665039,2.1977661181808,46.14053859968807,0.8124071042262502,0.924780011177063,0.13333333333333333,31.59397761027018,0.9210378003886526
112102A,-12.255977094173431,0.7409347295761108,0.879783034324646,0.8846167325973511,-0.04214542731642723,-9.608589857816696,7.109544294446062,27.57270203117305,0.8539461567091893,0.9330095648765564,0.14285714285714285,23.51747921534947,0.9405802360701659
113004A,-11.855486035346985,0.7396982312202454,0.8891620859503746,0.8920378088951111,-0.07856142520904541,-12.529362738132477,0.31510279948858194,6.858013813035332,0.8294934231340664,0.8787615895271301,0.21428571428571427,25.21341698510306,0.9478664611561627
116006B,-13.868793845176697,0.716704398393631,0.8788523599505424,0.8822229504585266,-0.06986012309789658,-17.17153489589691,0.5592053716172691,-256.7161845031549,0.7148791610409495,0.7469097971916199,0.5,36.692211627960205,0.9419671760774029
116010A,-20.237353444099426,0.6729040741920471,0.8417126536369324,0.80380779504776,-0.09627118706703186,-20.789511501789093,8.699097499760931,-10.801636351030531,0.6453209892084435,0.7126345634460449,0.2,31.660563945770264,0.9312473616054615
116011A,-21.859730780124664,0.6537764370441437,0.7505443841218948,0.7733893394470215,-0.06204589828848839,-18.335914611816406,-7.2137995909964445,77.4280878536339,0.6812592430046259,0.8143350481987,0.4,48.449950218200684,0.874414155390236
116012A,-40.91402292251587,0.6538909077644348,0.7507852762937546,0.6159752607345581,-0.0947456806898117,-40.913280844688416,44.029423218308025,-183.8792112386464,0.4290039535706486,0.584197461605072,0.2,54.389967918395996,0.9247023656786363
116013A,-18.483155965805054,0.6953606605529785,0.8330544978380203,0.8229561448097229,-0.08016323298215866,-18.42658221721649,2.977265213706049,42.274872596064725,0.6981074908182712,0.7684074640274048,0.7,50.27145862579345,0.9215177872305669
116014A,-11.088979244232178,0.6935637593269348,0.7185111045837402,0.8850764036178589,-0.035892896354198456,-8.914297819137573,-31.511358470494944,-31.953916550950158,0.7668916734099412,0.8644190430641174,0.5555555555555556,51.09072791205512,0.8491694227400738
116015A,-27.16113030910492,0.6822771728038788,0.788456916809082,0.7036672234535217,-0.0737249031662941,-24.478834867477417,-10.252182774832436,52.47512539925726,0.6169483790409076,0.7722939252853394,0.25,42.58189797401428,0.9159442244596806
121001A,-15.741004049777985,0.6701988577842712,0.7907726168632507,0.786047101020813,-0.029149329289793968,-19.097983837127686,-83.94208165650389,58.13453706162722,0.7151084030895403,0.8428707718849182,0.16666666666666666,44.70342397689819,0.8965699043771482
122004A,-29.848915338516235,0.6574757397174835,0.754018023610115,0.674185574054718,-0.01453376654535532,-27.559417486190796,-62.16092231117406,87.07342353558188,0.6475196657521718,0.9141746759414673,0.14285714285714285,50.759186063494,0.8964560014889571
