basin,NSE,Alpha-NSE,Beta-NSE,FHV,FMS,FLV,KGE,Beta-KGE,Peak-Timing,Peak-MAPE,Pearson-r
102101A,0.620820015668869,0.7430530786514282,-0.039686065167188644,-32.874202728271484,-5.913236116332839,90.91706108673944,0.6369523660335772,0.8522746562957764,0.6363636363636364,64.8651123046875,0.7903357756660008
104001A,0.7303069531917572,0.7470048069953918,0.017109664157032967,-11.017101258039474,-49.196609267102986,71.61277261990301,0.7027818556848533,1.0737006664276123,0.3,44.34010028839111,0.8625217493753057
105101A,0.7465455532073975,1.0006226301193237,0.05313288792967796,2.567068301141262,-50.99286361359597,-48.98129591932461,0.7648669891346609,1.1990042924880981,0.8181818181818182,39.69918164339932,0.8747624788585878
105102A,0.6017207205295563,0.8054229021072388,0.026133177801966667,-10.246972739696503,-36.01702201260687,-27.702134781936817,0.672922829829546,1.1387330293655396,0.5,51.80464744567871,0.7766787632458495
105105A,0.7489044368267059,0.9787908792495728,0.024291174486279488,-2.790415845811367,-29.2872039602615,88.84875978377849,0.8411742501109652,1.091973066329956,0.8,34.433584213256836,0.8722629768051818
107001B,0.8703901767730713,1.013883352279663,-0.002605755813419819,5.268643796443939,29.516158526545404,27.593210258866545,0.9342830181211969,0.992713451385498,0.5,20.446903705596924,0.9361808771133118
108002A,0.8112173229455948,0.9523513913154602,-0.038388680666685104,-8.375780284404755,-11.02844278394274,21.45105546378393,0.8563790928424139,0.9055606722831726,0.6923076923076923,45.143813353318436,0.9028517192967922
108003A,0.559872180223465,1.192711353302002,0.07556673139333725,24.031759798526764,-11.194297350619157,-8.680085492114205,0.7063304832729844,1.1461743116378784,0.3125,53.733885288238525,0.833455141237016
112002A,0.8406676352024078,0.8960183262825012,-0.06373661756515503,-14.279258251190186,6.986367841574266,22.9996964258633,0.830660866217772,0.8933912515640259,0.13333333333333333,34.34385299682617,0.9193890297916089
112102A,0.8547721952199936,0.8522526621818542,-0.0616426020860672,-12.78742104768753,6.737014940729592,34.83487713548671,0.8093355834841356,0.902018666267395,0.14285714285714285,30.13490949358259,0.9298337536064123
113004A,0.8777039051055908,0.8691349625587463,-0.09455199539661407,-12.812547385692596,-7.606362632993445,6.290053769902837,0.7963293744558706,0.8540844321250916,0.07142857142857142,27.64315775462559,0.9446401523053105
116006B,0.856595367193222,0.8478513360023499,-0.0722971260547638,-17.843681573867798,-20.43233555902414,63.7963243833379,0.6895931354660885,0.7380809783935547,0.6,36.96603775024414,0.9321646720784319
