basin,NSE,Alpha-NSE,Beta-NSE,FHV,FMS,FLV,KGE,Beta-KGE,Peak-Timing,Peak-MAPE,Pearson-r
102101A,0.6363489627838135,0.7589327096939087,-0.03321286290884018,-30.687645077705383,0.7242231395033856,81.37989804277633,0.6629167760131754,0.8763701915740967,0.7272727272727273,68.32245046442206,0.7994324754442912
104001A,0.6371233761310577,0.6898095607757568,0.014333423227071762,-14.597022533416748,-48.73537685950421,73.9334257343091,0.6294174743875208,1.061741828918457,0.4,46.43946170806885,0.80686469441089
105101A,0.7985545694828033,0.9050605297088623,0.019287358969449997,-9.353087097406387,-48.799475899507364,-44.3448923702742,0.8403444154353163,1.0722390413284302,0.18181818181818182,36.72155033458363,0.893896637322475
105102A,0.6104521155357361,0.7293404936790466,0.03231649473309517,-19.725920259952545,-53.54622453377499,73.67910559034357,0.6134825249646084,1.1715583801269531,1.1,61.06006145477295,0.7838821794621086
105105A,0.7536357939243317,0.9814891219139099,0.03194111958146095,-2.0621731877326965,-29.634486705209994,86.38242919207119,0.8252246343266199,1.1209379434585571,0.6,37.97168016433716,0.8751889841770347
107001B,0.8529855608940125,1.0219151973724365,0.03641608729958534,6.707379221916199,-12.944052676167123,88.047791584116,0.8739141446891279,1.1018316745758057,0.3,23.99228572845459,0.928952993823184
108002A,0.8052766025066376,0.905297577381134,-0.03244836628437042,-11.805598437786102,-3.2566750943794465,57.68330730881338,0.8395410097637801,0.9201743006706238,0.6923076923076923,47.89727651155912,0.8979882534983298
108003A,0.5609289109706879,1.1445226669311523,0.06140515208244324,20.21513134241104,0.6645504374076303,54.81052127233919,0.7396696445098567,1.1187806129455566,0.4375,56.56321048736572,0.8189578537439157
112002A,0.8309246450662613,0.8455151915550232,-0.06263354420661926,-19.24717277288437,13.89766010907945,37.677091761275186,0.7954964250471,0.8952363133430481,0.2,32.32468287150065,0.9164492604085447
112102A,0.8601628839969635,0.8229346871376038,-0.06673899292945862,-14.67643529176712,-1.3873348605184679,13.674386723303039,0.784128067974476,0.8939179182052612,0.2857142857142857,24.618501322610037,0.9367927382378529
113004A,0.8652839213609695,0.8695299625396729,-0.09115278720855713,-14.947417378425598,1.495999927369347,-13.754079717617335,0.7980923672328017,0.8593301773071289,0.14285714285714285,24.427688121795654,0.937101172679367
116006B,0.8694244176149368,0.9308351874351501,-0.05457160994410515,-10.732997208833694,7.043093766358659,43.870046845579225,0.7804045752331303,0.8022972345352173,0.6,31.78692817687988,0.934030341754802
116010A,0.7952606678009033,0.762664794921875,-0.10477721691131592,-26.964381337165833,42.148747642597655,18.221483417083174,0.5971822188713346,0.6872444152832031,0.2,38.94469976425171,0.9098994481015782
116011A,0.7275113165378571,0.6920938491821289,-0.06003590300679207,-24.814893305301666,5.7337622589930275,58.70728826967883,0.6219834630412793,0.8203496932983398,0.7,52.85603523254394,0.8742380351426327
116012A,0.7341819405555725,0.6058892607688904,-0.08945520222187042,-38.95176947116852,-10.5652727604585,-213.8786759438926,0.4373279581596974,0.6074153184890747,0.4,56.34253978729248,0.9154197438262988
116013A,0.8128678500652313,0.8241192698478699,-0.0671604797244072,-19.33876723051071,-3.390546186189594,43.83858469889117,0.7224207912201988,0.8059725761413574,0.6,50.932345390319824,0.9079698707012059
116014A,0.7357950508594513,0.9516093730926514,-0.0031706595327705145,-4.944667965173721,-51.94487110076047,63.72314332500652,0.8536628406150033,0.9880232214927673,0.5555555555555556,46.25964694552952,0.8624155960111307
116015A,0.7546398937702179,0.7001281380653381,-0.07588354498147964,-25.47820210456848,3.5032444438350763,41.63499923386541,0.6046770491223145,0.7656267285346985,0.125,39.024513959884644,0.8931062605522094
121001A,0.818242684006691,0.8528295159339905,-0.022043412551283836,-12.891978025436401,-81.87193372514582,-105.49017475064322,0.7889660109847941,0.88117516040802,0.16666666666666666,42.44718154271443,0.9064219543087872
122004A,0.7610375434160233,0.6586057543754578,-0.005938029382377863,-27.705669403076172,-50.85658899084415,89.23019329710115,0.6444564917382251,0.9649345278739929,0.14285714285714285,49.15294987814767,0.907093767775672
126003A,0.7437844276428223,0.8909522891044617,0.03786763921380043,-1.9341636449098587,-16.924268645425393,-36.243684940068924,0.7097124331121081,1.2319380044937134,0.18181818181818182,34.19923132116144,0.8636906815011915
136202D,0.843280553817749,0.9878739714622498,0.019970567896962166,15.3571218252182,-15.479033545850616,-18.730266972818967,0.7759557704222475,1.2092859745025635,0.2,36.40312671661377,0.9209547147800538
