basin,FHV_1%,mNSE,NSE,Alpha-NSE,Beta-NSE,FHV,FMS,FLV,KGE,Beta-KGE,Peak-Timing,Peak-MAPE,Pearson-r
01013500,-10.8415886759758,0.7311004400253296,0.9101685956120491,0.9361878037452698,-0.0054163685999810696,-7.85268247127533,7.493445960544301,46.32699485812776,0.9211935540389083,0.9935169816017151,1.1666666666666667,18.694750467936196,0.9542132114402664
01022500,-9.011588245630264,0.7305733859539032,0.8861891031265259,0.8917518854141235,-0.06928127259016037,-8.95189493894577,-6.392300684947713,21.39007336244428,0.8534733069698867,0.9176803827285767,0.3125,23.912832140922546,0.945448207442556
01030500,7.176756113767624,0.7269064486026764,0.8939637839794159,0.9820090532302856,0.046527113765478134,4.122965037822723,-18.424303556853413,50.84292257408515,0.9192591347949867,1.0584444999694824,0.7586206896551724,13.803440949012494,0.9472775799900971
01031500,-18.061955273151398,0.7190574407577515,0.8823264613747597,0.8378483653068542,0.00011562008148757741,-16.730664670467377,-20.888217535328142,29.38656919991217,0.8289239635465424,1.000187873840332,0.125,24.571384489536285,0.9454672362850964
01047000,-11.862047761678696,0.7352177202701569,0.8667469322681427,0.8769097924232483,-0.02712557464838028,-12.36150935292244,-9.831130841099277,18.682321037869457,0.853780204283313,0.958158552646637,0.03125,22.621910274028778,0.9330797284709812
01052500,-25.537380576133728,0.6650886535644531,0.8088300675153732,0.7681679129600525,-0.06766361743211746,-24.03380423784256,-4.59066648634984,-429.9401680854917,0.7298161614766423,0.891481339931488,0.4411764705882353,39.349547554464905,0.9135309856951475
01054200,-24.69519078731537,0.5989275276660919,0.6933525502681732,0.8002226948738098,-0.015310782939195633,-23.464670777320862,0.7061272455117718,18.034197223422073,0.738331985458014,0.9711707830429077,0.21875,41.123026609420776,0.833482570160049
01055000,-16.624829173088074,0.6656048595905304,0.7372992932796478,0.8497416377067566,-0.0072857532650232315,-16.59713238477707,-3.180919538373074,-337.4442223688077,0.7933637057626486,0.9870996475219727,0.14705882352941177,42.426555296953985,0.8587393771674486
01057000,7.22837820649147,0.6876747906208038,0.8131282776594162,1.0220599174499512,0.0520145557820797,1.605280302464962,-12.365311929601292,52.33996710085741,0.8783834441945891,1.0789276361465454,0.1875,26.4203280210495,0.9101424742139508
01073000,11.993872374296188,0.6895575225353241,0.8794031292200089,1.1247419118881226,0.08237159252166748,11.413808166980743,-16.749658897680362,73.98986119133467,0.8007297336725714,1.1491321325302124,0.2,15.701395670572918,0.9563227575539461
